NAME,mean
Highlands,0.7219620083677601
Upper Edmonton,0.25528950758812047
Palmers Green,0.36099900003614355
Edmonton Green,0.3183219105195858
Lower Edmonton,0.30598885109557233
Grange,0.6032849930042866
Jubilee,0.4012833118904268
Ponders End,0.27084236186814403
Enfield Highway,0.34112284078674937
Bowes,0.36899387344769435
Southgate Green,0.5093475775808091
Southgate,0.5901952777356694
Haselbury,0.415234206798319
Bush Hill Park,0.4958681985349465
Town,0.43226189751242367
Southbury,0.36117414340597964
Turkey Street,0.4706345484866449
Enfield Lock,0.5530377894975371
Peninsula,0.0972355010404409
Woolwich Riverside,0.16545486966551917
Greenwich West,0.49321928174925367
Glyndon,0.3464121139320387
Thamesmead Moorings,0.41057534571271076
Middle Park and Sutcliffe,0.684253372296094
Coldharbour and New Eltham,0.5459604072612128
Eltham South,0.6840130309269536
Shooters Hill,0.7519819806498617
Eltham West,0.45850882093709466
Blackheath Westcombe,0.607283789064265
Kidbrooke with Hornfair,0.5745634076054551
Eltham North,0.5823352635640331
Charlton,0.5288018746580052
Woolwich Common,0.5328375663303894
Plumstead,0.5036314387926174
Abbey Wood,0.5655211820314389
Haggerston,0.20782434338872208
Brownswood,0.35884704229467124
De Beauvoir,0.18885483320400814
Queensbridge,0.32233256332239485
Wick,0.47655004395479145
Dalston,0.2797421866498888
Stoke Newington Central,0.2599660496831894
Hackney Downs,0.38352174375862536
Leabridge,0.4466752254128214
New River,0.2839008454488047
Cazenove,0.2343113054969676
King's Park,0.6956453846325151
Hoxton,0.2807817127247619
Victoria,0.3808968293775623
Hackney Central,0.25928936258876395
Chatham,0.20050449570334034
Clissold,0.2490401627881122
Lordship,0.4577765417563905
Springfield,0.48757869931610354
Palace Riverside,0.4501721883781631
Sands End,0.13488500090755837
Ravenscourt Park,0.3135836976324243
Hammersmith Broadway,0.14930505320580814
Fulham Reach,0.23371291789383355
Munster,0.08145395700978059
Parsons Green and Walham,0.20554454872653033
Fulham Broadway,0.20184668760018443
Avonmore and Brook Green,0.24196986265823947
Askew,0.19154059964274542
Wormholt and White City,0.3344449331292238
Shepherd's Bush Green,0.1749654727883484
College Park and Old Oak,0.41927081242041847
Town,0.1364114283483489
North End,0.14519421028692278
Addison,0.16429438672221974
Highgate,0.7097532948034309
Harringay,0.42980740412109997
Fortis Green,0.5585977099332972
Bounds Green,0.3736697251417481
Crouch End,0.5246119519888216
Stroud Green,0.4356512363343885
Muswell Hill,0.5875017593534889
Hornsey,0.2530574757541265
Alexandra,0.6187656655661142
Noel Park,0.1769271735080325
Woodside,0.36717212438647157
St. Ann's,0.2942194690786558
Seven Sisters,0.27690677638746625
Tottenham Green,0.22399318896356618
West Green,0.47291588840763443
Tottenham Hale,0.40442026794837005
White Hart Lane,0.44363510217461793
Bruce Grove,0.2129321389510963
Northumberland Park,0.2798115111713464
Roxeth,0.4534081893238792
Harrow on the Hill,0.7312948752616033
Pinner,0.733829308125729
Pinner South,0.5806481768207211
Greenhill,0.31448473464371646
Headstone North,0.5799417356446276
Marlborough,0.27721194568999247
Harrow Weald,0.7587644644118396
Stanmore Park,0.7656736797952763
Canons,0.7444296038953595
