ward_code,Observation
E05004579,3194.8
E05004580,262.8
E05004581,2269.5
E05004582,331.5
E05004583,817.9
E05004584,150.3
E05004585,29.1
E05004586,84.4
E05004587,31.6
E05004588,1650.3
E05004589,3585.4
E05004590,693.1
E05004592,242
E05004593,3250.7
E05004596,1692.4
E05004597,2392
E05004598,561.9
E05004599,3427.3
E05004600,1775.6
E05004601,184.5
E05004602,713.2
E05004603,456.9
E05004604,2465.3
E05004605,756.9
E05004606,108
E05004607,1994.8
E05004608,470.1
E05004609,4240.2
E05004610,2444.1
E05004611,2787.2
E05004612,1298.1
E05004613,4065.9
E05004691,1725.6
E05004692,5113.7
E05004693,160.7
E05004694,3763.6
E05004695,146.4
E05004696,5444.6
E05004697,1595.3
E05004698,944.1
E05004699,2663.2
E05004700,320
E05004701,4269.9
E05004702,2128.5
E05004703,2840
E05004704,3385.9
E05004705,4754.7
E05004706,4852.8
E05004707,635.2
E05004708,4047.5
E05004709,1906.9
E05004710,188.8
E05004711,2096.7
E05004712,272
E05004713,252.3
E05004714,116.2
E05004715,5632
E05004721,55
E05004723,187
E05004724,632.5
E05004725,1160.7
E05004726,1443.6
E05004727,178.9
E05004728,3032.3
E05004729,79.4
E05004730,88.6
E05004731,2151.4
E05004732,104.7
E05004733,65.3
E05004735,86.6
E05004736,851
E05004737,876.6
E05004738,279.8
E05004739,90.9
E05004741,1398.7
E05004742,3680.7
E05004743,3236.4
E05004744,5996.3
E05004745,177.6
E05004761,74.7
E05004762,4112.6
E05004763,3073.6
E05004764,305.2
E05004765,536.5
E05004766,504.7
E05004767,43.6
E05004768,2256.8
E05004769,3622.5
E05004770,3769.9
E05004771,1047.6
E05004772,2340.9
E05004773,75.7
E05004774,152.2
E05004775,278.3
E05004776,2250.6
E05004777,1481
E05004778,1274.1
E05004779,1613.4
E05004780,3044.1
E05004781,1381
E05004782,1913.3
E05004783,4385.1
E05004784,33.3
E05004805,5086.8
E05004806,3108.5
E05004807,4882.7
E05004808,2689.3
E05004810,6252.3
E05004811,4172.3
E05004812,4867.4
E05004813,2178.6
E05004814,6943.3
E05004815,3815.2
E05004816,1908.5
E05004817,1776
E05004964,5193.2
E05004965,624.6
E05004966,6144.6
E05004967,297.7
E05004968,460.1
