NAME,deprived rate,ward_code
Lea Bridge,0.576383764,E05013895
Leyton,0.598101266,E05013896
Leytonstone,0.508645533,E05013897
Markhouse,0.571306087,E05013898
St James,0.475436793,E05013899
Upper Walthamstow,0.537695118,E05013900
Valley,0.566817556,E05013901
William Morris,0.517559739,E05013902
Wood Street,0.550435516,E05013903
Balham,0.357628501,E05014009
Battersea Park,0.475228704,E05014010
East Putney,0.376859287,E05014011
Falconbrook,0.55019685,E05014012
Furzedown,0.516032811,E05014013
Lavender,0.328221979,E05014014
Nine Elms,0.312762973,E05014015
Northcote,0.29022869,E05014016
Roehampton,0.600292826,E05014017
St Mary's,0.363688927,E05014018
Shaftesbury & Queenstown,0.478379937,E05014019
South Balham,0.407407407,E05014020
Southfields,0.330605883,E05014021
Thamesfield,0.312929849,E05014022
Tooting Bec,0.440560494,E05014023
Tooting Broadway,0.481244672,E05014024
Trinity,0.369845898,E05014025
Wandle,0.403696281,E05014026
Wandsworth Common,0.351430329,E05014027
Wandsworth Town,0.376852077,E05014028
West Hill,0.482789992,E05014029
West Putney,0.439275766,E05014030
Abbey Road,0.435004949,E05013792
Bayswater,0.459993468,E05013793
Church Street,0.728910369,E05013794
Harrow Road,0.580310881,E05013795
Hyde Park,0.471987887,E05013796
Knightsbridge & Belgravia,0.37747154,E05013797
Lancaster Gate,0.48680248,E05013798
Little Venice,0.481440072,E05013799
Maida Vale,0.498194946,E05013800
Marylebone,0.373735777,E05013801
Pimlico North,0.480046048,E05013802
Pimlico South,0.576349718,E05013803
Queen's Park,0.643403254,E05013804
Regent's Park,0.422920713,E05013805
St James's,0.434513446,E05013806
Vincent Square,0.50706406,E05013807
West End,0.463133641,E05013808
Westbourne,0.653008963,E05013809
