NAME,Population per square kilometre,ward_code
Ravensbury,5835.146899,E05000468
Raynes Park,5569.88667,E05000469
St. Helier,6207.383279,E05000470
Trinity,9616.387337,E05000471
Village,1377.452557,E05000472
West Barnes,5649.410559,E05000473
Wimbledon Park,5534.347826,E05000474
Beckton,2787.563939,E05000475
Boleyn,20389.73799,E05000476
Canning Town North,7751.486326,E05000477
Canning Town South,12560.26417,E05000478
Custom House,6880.271449,E05000479
East Ham Central,16503.36862,E05000480
East Ham North,15753.31858,E05000481
East Ham South,8967.99117,E05000482
Forest Gate North,13337.88122,E05000483
Forest Gate South,15713.92617,E05000484
Green Street East,23426.64872,E05000485
Green Street West,20391.30435,E05000486
Little Ilford,9303.844128,E05000487
Manor Park,11668.14815,E05000488
Plaistow North,16951.07034,E05000489
Plaistow South,12852.09235,E05000490
Royal Docks,4090.131442,E05000491
Stratford and New Town,8903.23342,E05000492
Wall End,11535.17041,E05000493
West Ham,12245.69288,E05000494
Aldborough,1942.057594,E05000495
Barkingside,9062.213491,E05000496
Bridge,4859.24777,E05000497
Chadwell,10851.38705,E05000498
Church End,8814.343164,E05000499
Clayhall,5469.690887,E05000500
Clementswood,15753.73721,E05000501
Cranbrook,5776.80798,E05000502
Fairlop,3842.515303,E05000503
Fullwell,6296.567506,E05000504
Goodmayes,8805.218447,E05000505
Hainault,2451.790145,E05000506
Loxford,16521.36752,E05000507
Mayfield,7820.063694,E05000508
Monkhams,3735.609756,E05000509
Newbury,8812.470477,E05000510
Roding,5594.709898,E05000511
Seven Kings,8764.649376,E05000512
Snaresbrook,6626.888218,E05000513
Valentines,11187.08389,E05000514
Wanstead,2441.131204,E05000515
Barnes,3437.873754,E05000516
East Sheen,1951.156812,E05000517
Fulwell and Hampton Hill,5795.099062,E05000518
"Ham, Petersham & Richmond Riverside",1180.499682,E05000519
Hampton,1566.962338,E05000520
Hampton North,4984.615385,E05000521
Hampton Wick,4186.088857,E05000522
Heathfield,5812.238494,E05000523
Kew,3410.629371,E05000524
Mortlake and Barnes Common,6158.926729,E05000525
North Richmond,4364.285714,E05000526
St. Margarets & North Twickenham,6540.877368,E05000527
South Richmond,4278.603269,E05000528
South Twickenham,6185.292415,E05000529
Teddington,2635.242086,E05000530
Twickenham Riverside,5733.43527,E05000531
West Twickenham,4604.641694,E05000532
Whitton,6568.083795,E05000533
Brunswick Park,14814.97326,E05000534
Camberwell Green,17394.87179,E05000535
Cathedrals,12107.20363,E05000536
Chaucer,19773.99757,E05000537
College,3940.321583,E05000538
East Dulwich,13458.29244,E05000539
East Walworth,13643.35664,E05000540
Faraday,16472.06385,E05000541
Grange,15885.47718,E05000542
Livesey,11983.98329,E05000543
Newington,18736.77885,E05000544
Nunhead,11264.75038,E05000545
Peckham,18250,E05000546
Peckham Rye,6527.74079,E05000547
Riverside,13102.85285,E05000548
Rotherhithe,11411.52815,E05000549
South Bermondsey,15618.70504,E05000550
South Camberwell,10021.78813,E05000551
Surrey Docks,8980.010521,E05000552
The Lane,12353.95683,E05000553
Village,4672.525108,E05000554
Beddington North,2174.096386,E05000555
Beddington South,3704.344985,E05000556
Belmont,4650.834403,E05000557
Carshalton Central,5604.834731,E05000558
Carshalton South and Clockhouse,1544.35941,E05000559
Cheam,2887.760284,E05000560
Nonsuch,6016.789087,E05000561
St. Helier,8297.333333,E05000562
Stonecot,5683.997981,E05000563
Sutton Central,10751.14504,E05000564
Sutton North,6432.533333,E05000565
Sutton South,8384.433962,E05000566
Sutton West,6549.184935,E05000567
The Wrythe,7901.48448,E05000568
Wallington North,7513.296228,E05000569
Wallington South,6575.334497,E05000570
Wandle Valley,7077.858881,E05000571
Worcester Park,6813.490036,E05000572
Bethnal Green North,18749.69623,E05000573
Bethnal Green South,17204.31328,E05000574
Blackwall and Cubitt Town,12196.83182,E05000575
Bow East,10777.71798,E05000576
Bow West,10360.05939,E05000577
Bromley-by-Bow,20267.22533,E05000578
East India and Lansbury,17679.73856,E05000579
Limehouse,16951.83888,E05000580
Mile End and Globe Town,17602.22222,E05000581
Mile End East,16843.92523,E05000582
Millwall,14613.10008,E05000583
St. Dunstan's and Stepney Green,18598.23183,E05000584
St. Katherine's and Wapping,10534.52855,E05000585
Shadwell,16482.86604,E05000586
Spitalfields and Banglatown,18373.04075,E05000587
Weavers,19540.43646,E05000588
Whitechapel,22545.75163,E05000589
Cann Hall,16688.37209,E05000590
Cathall,13138.12677,E05000591
Chapel End,8625.407166,E05000592
Chingford Green,2954.667382,E05000593
Endlebury,6011.230219,E05000594
Forest,6669.017632,E05000595
Grove Green,18082.40535,E05000596
Hale End and Highams Park,5585.957447,E05000597
Hatch Lane,4793.217535,E05000598
High Street,5411.956877,E05000599
Higham Hill,5275.605214,E05000600
Hoe Street,14024.61258,E05000601
Larkswood,6082.648623,E05000602
Lea Bridge,6800,E05000603
Leyton,8602.1611,E05000604
Leytonstone,10322.90076,E05000605
Markhouse,11420.90784,E05000606
Valley,6169.611307,E05000607
William Morris,17070.07007,E05000608
Wood Street,8259.620596,E05000609
Balham,12772.35099,E05000610
Bedford,7951.219512,E05000611
Earlsfield,12122.60808,E05000612
East Putney,10252.33064,E05000613
Fairfield,11709.27835,E05000614
Furzedown,11066.52512,E05000615
Graveney,16299.60317,E05000616
Latchmere,14664.51613,E05000617
Nightingale,12214.45979,E05000618
Northcote,9617.629541,E05000619
Queenstown,8213.840399,E05000620
Roehampton,3672.016275,E05000621
St. Mary's Park,14360.31519,E05000622
Shaftesbury,15276.37131,E05000623
Southfields,11880.4205,E05000624
Thamesfield,9287.870901,E05000625
Tooting,10751.24688,E05000626
Wandsworth Common,5623.913043,E05000627
West Hill,10010.66351,E05000628
West Putney,8396.533044,E05000629
Abbey Road,12222.83105,E05000630
Bayswater,22588.80309,E05000631
Bryanston and Dorset Square,19510.37344,E05000632
Churchill,20653.53038,E05000633
Church Street,30909.90991,E05000634
Harrow Road,27878.78788,E05000635
Hyde Park,17043.79562,E05000636
Knightsbridge and Belgravia,2853.882549,E05000637
Lancaster Gate,24238.09524,E05000638
Little Venice,20452.83019,E05000639
Maida Vale,18486.06811,E05000640
Marylebone High Street,12472.52747,E05000641
Queen's Park,23883.36192,E05000642
Regent's Park,6080.673759,E05000643
St. James's,4499.711649,E05000644
Tachbrook,21011.26126,E05000645
Vincent Square,18351.31195,E05000646
Warwick,18559.23345,E05000647
Westbourne,21099.40653,E05000648
West End,6854.208417,E05000649
London,5830.509325,E12000007
