WD22CD,WD22NM,mean
E05013683,Highfield,0.5446079988163884
E05013684,Jubilee,0.45094385403018405
E05013685,Lower Edmonton,0.36417029898923237
E05013686,New Southgate,0.3867177209754805
E05013687,Oakwood,0.7144852229116602
E05013688,Palmers Green,0.4849431261770238
E05013689,Ponders End,0.2725835568191562
E05013690,Ridgeway,0.8194542123875367
E05013691,Southbury,0.4878573303488203
E05013692,Southgate,0.6320767278871884
E05013693,Town,0.4779360809608357
E05013694,Upper Edmonton,0.2725454705110882
E05013695,Whitewebbs,0.8145250966799549
E05013696,Winchmore Hill,0.6374385465279439
E05013697,Arsenal,0.28987733086849055
E05013698,Barnsbury,0.2775791138850017
E05013699,Bunhill,0.14983023198009596
E05013700,Caledonian,0.2862946442740338
E05013701,Canonbury,0.4194567373721961
E05013702,Clerkenwell,0.2029720224327492
E05013703,Finsbury Park,0.2891939668618706
E05013704,Highbury,0.4994518295189808
E05013705,Hillrise,0.4963315709875386
E05013706,Holloway,0.2942892893146438
E05013707,Junction,0.3255523674573231
E05013708,Laycock,0.33740665656005286
E05013709,Mildmay,0.43009208043585173
E05013710,St Mary's & St James',0.29225326042118427
E05013711,St Peter's & Canalside,0.19540755959222
E05013712,Tollington,0.25823455372463283
E05013713,Tufnell Park,0.36434885482991947
E05013714,Bellingham,0.6684104405842983
E05013715,Blackheath,0.7682432862060266
E05013716,Brockley,0.4481885939316519
E05013717,Catford South,0.5018288662139269
E05013718,Crofton Park,0.42181308243251314
E05013719,Deptford,0.24869277541085372
E05013720,Downham,0.6284130793035778
E05013721,Evelyn,0.29532537652742274
E05013722,Forest Hill,0.6192796715846228
E05013723,Grove Park,0.6501643683630566
E05013724,Hither Green,0.462699535509808
E05013725,Ladywell,0.5470459059711015
E05013726,Lee Green,0.47588738324553365
E05013727,Lewisham Central,0.2780684365058281
E05013728,New Cross Gate,0.3055000756250703
E05013729,Perry Vale,0.4998719000370817
E05013730,Rushey Green,0.4755605249618645
E05013731,Sydenham,0.5849503325952986
