Area name,Domestic Buildings area rate,Non Domestic Buildings area rate
Chessington South,0.029356152,0.013036314
Coombe Hill,0.065049554,0.023439833
Coombe Vale,0.137556095,0.018035173
Grove,0.100346637,0.136914063
Norbiton,0.120795142,0.059250877
Old Malden,0.132980295,0.015234538
St James,0.101020102,0.015524085
St Mark's,0.119944658,0.062765459
Surbiton Hill,0.134374924,0.037420942
Tolworth and Hook Rise,0.075533032,0.067402421
Tudor,0.132876857,0.034672741
Bishop's,0.065320248,0.229425203
Brixton Hill,0.177742044,0.121541906
Clapham Common,0.158915873,0.053176424
Clapham Town,0.178857679,0.098211062
Coldharbour,0.150443702,0.092555087
Ferndale,0.227933374,0.096028425
Gipsy Hill,0.144030108,0.042817344
Herne Hill,0.121623728,0.06392505
Knight's Hill,0.17137707,0.053834461
Larkhall,0.159572479,0.100989321
Oval,0.120531238,0.13320403
Prince's,0.115462506,0.15901292
St Leonard's,0.181235778,0.072641344
Stockwell,0.162485232,0.093277272
Streatham Hill,0.189780675,0.046795669
Streatham South,0.14995683,0.025429365
Streatham Wells,0.162279812,0.052775231
Thornton,0.168656344,0.06189698
Thurlow Park,0.17010285,0.03715114
Tulse Hill,0.178101705,0.060599852
Vassall,0.14674841,0.098631422
Bellingham,0.082608526,0.026437065
Blackheath,0.095988433,0.04436214
Brockley,0.151205,0.063327123
Catford South,0.173577355,0.036715311
Crofton Park,0.167386022,0.039776672
Downham,0.102709422,0.031274229
Evelyn,0.084924321,0.143237997
Forest Hill,0.127718821,0.049591081
Grove Park,0.113149369,0.015745477
Ladywell,0.160845921,0.021004578
Lee Green,0.163908113,0.041006106
Lewisham Central,0.130216909,0.097900793
New Cross,0.102700509,0.110834506
Perry Vale,0.162972559,0.037460038
Rushey Green,0.154850461,0.058740673
Sydenham,0.159876168,0.037109047
Telegraph Hill,0.149995199,0.048404545
Whitefoot,0.098364261,0.036068729
Abbey,0.121492514,0.168359339
Cannon Hill,0.086698761,0.021218998
Colliers Wood,0.16097512,0.069703577
Cricket Green,0.055985401,0.075119568
Dundonald,0.165995823,0.056763448
Figge's Marsh,0.131526438,0.058022509
Graveney,0.203691334,0.056834827
