NAME,percentage,ward code
Brownswood,12.56%,E05009367
Canbury Gardens,18.51%,E05013930
Clapham Park,18.40%,E05014101
Shooters Hill,34.60%,E05014089
Shirley South,36.04%,E05011483
Elm Park,13.89%,E05013969
South Hornchurch,7.65%,E05013984
Dulwich Wood,37.84%,E05011101
Munster,11.59%,E05013743
Mottingham,30.25%,E05014000
Harold Wood,23.73%,E05013973
Broad Street,0.80%,E05009295
Goose Green,14.72%,E05011103
North Harrow,11.47%,E05013554
Marylebone,7.50%,E05013801
Harringay,19.91%,E05013590
West Finchley,16.39%,E05013648
Cheam,19.33%,E05013758
West End,5.07%,E05013808
Motspur Park & Old Malden East,13.49%,E05013939
Brixton Rush Common,19.78%,E05014097
Tokyngton,10.79%,E05013512
Higham Hill,8.08%,E05013892
Chelsea Riverside,17.43%,E05009391
Fullwell,15.68%,E05011243
Kingston Town,13.53%,E05013938
Hillrise,25.36%,E05013705
Northolt Mandeville,18.90%,E05013531
Hither Green,13.01%,E05013724
Lavender,11.04%,E05014014
Abingdon,19.99%,E05009388
Northolt West End,18.00%,E05013532
Hampton Wick & South Teddington,24.38%,E05013780
Mayesbrook,10.72%,E05014065
